nombre,coordenadaX,coordenadaY,dirección,horario
Local 1,64.85714285714286,171.14285714285714,San Felipe,10H00-24H00
Local 2,101.71428571428571,281.14285714285717,Marta de Roldos,10H00-24H00
Local 3,208.0,420.2857142857143,Urdesa,10H00-24H00
Local 4,361.14285714285717,328.2857142857143,Mall del sol,10H00-24H00
Local 5,416.0,281.7142857142857,Garzota,10H00-24H00
Local 6,304.57142857142856,263.42857142857144,Urdenor,10H00-24H00
Local 7,397.42857142857144,123.42857142857143,Sauces 9,10H00-24H00
Local 8,506.85714285714283,141.14285714285714,Acuarela del Río,10H00-24H00
Local 9,656.2857142857143,254.28571428571428,Parque Histórico,10H00-24H00
Local 10,213.71428571428572,140.57142857142858,Los Álamos,10H00-24H00
Local 11,650.2857142857143,40.57142857142857,Torres del Sol,10H00-24H00
Local 12,506.2857142857143,43.42857142857143,Sauces 4,10H00-24H00
Local 13,112.57142857142857,68.0,Cooperativa Pastor Vera,10H00-24H00
